structure_name,country_code,country,measure,unit_measure,adjustment,sex,age_group,frequency,time_period,year,quarter,employment_value,observation_status,is_estimated
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2022-Q3,2022,Q3,401.5138,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2022-Q4,2022,Q4,393.5986,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2023-Q1,2023,Q1,401.0956,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2023-Q2,2023,Q2,409.933,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2023-Q3,2023,Q3,397.8885,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2023-Q4,2023,Q4,394.183,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2024-Q1,2024,Q1,377.6236,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2024-Q2,2024,Q2,383.8949,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2024-Q3,2024,Q3,380.7152,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2024-Q4,2024,Q4,371.1663,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2025-Q1,2025,Q1,368.6688,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2025-Q2,2025,Q2,366.6028,Normal value,False
