structure_name,country_code,country,measure,unit_of_measure,sex,age,year,population_value,observation_status,is_estimated
Historical population data,GBR,United Kingdom,Population,Persons,Female,From 15 to 64 years,2023,21932.889,Normal value,False
Historical population data,USA,United States,Population,Persons,Female,From 15 to 64 years,2023,107632.23,Normal value,False
Historical population data,AUS,Australia,Population,Persons,Male,From 15 to 64 years,2023,8645.605,Normal value,False
Historical population data,AUT,Austria,Population,Persons,Male,From 15 to 64 years,2023,3033.247,Normal value,False
Historical population data,BEL,Belgium,Population,Persons,Male,From 15 to 64 years,2023,3753.776,Normal value,False
Historical population data,CAN,Canada,Population,Persons,Male,From 15 to 64 years,2023,13338.483,Normal value,False
Historical population data,CHL,Chile,Population,Persons,Male,From 15 to 64 years,2023,6794.886,Normal value,False
Historical population data,COL,Colombia,Population,Persons,Male,From 15 to 64 years,2023,17245.571,Normal value,False
Historical population data,CRI,Costa Rica,Population,Persons,Male,From 15 to 64 years,2023,1788.736,Normal value,False
Historical population data,CZE,Czechia,Population,Persons,Male,From 15 to 64 years,2023,3503.187,Normal value,False
Historical population data,DNK,Denmark,Population,Persons,Male,From 15 to 64 years,2023,1906.14,Normal value,False
Historical population data,EST,Estonia,Population,Persons,Male,From 15 to 64 years,2023,437.338,Normal value,False
Historical population data,FIN,Finland,Population,Persons,Male,From 15 to 64 years,2023,1758.813,Normal value,False
Historical population data,FRA,France,Population,Persons,Male,From 15 to 64 years,2023,20838.612,Normal value,False
Historical population data,GRC,Greece,Population,Persons,Male,From 15 to 64 years,2023,3320.245,Normal value,False
Historical population data,HUN,Hungary,Population,Persons,Male,From 15 to 64 years,2023,3148.003,Normal value,False
Historical population data,ISL,Iceland,Population,Persons,Male,From 15 to 64 years,2023,129.705,Normal value,False
Historical population data,IRL,Ireland,Population,Persons,Male,From 15 to 64 years,2023,1709.698,Normal value,False
Historical population data,ISR,Israel,Population,Persons,Male,From 15 to 64 years,2023,2858.4,Normal value,False
Historical population data,ITA,Italy,Population,Persons,Male,From 15 to 64 years,2023,18809.411,Normal value,False
Historical population data,JPN,Japan,Population,Persons,Male,From 15 to 64 years,2023,37518.015,Normal value,False
Historical population data,KOR,Korea,Population,Persons,Male,From 15 to 64 years,2023,18786.339,Normal value,False
Historical population data,LVA,Latvia,Population,Persons,Male,From 15 to 64 years,2023,585.256,Normal value,False
Historical population data,LTU,Lithuania,Population,Persons,Male,From 15 to 64 years,2023,929.713,Normal value,False
Historical population data,LUX,Luxembourg,Population,Persons,Male,From 15 to 64 years,2023,236.055,Normal value,False
Historical population data,MEX,Mexico,Population,Persons,Male,From 15 to 64 years,2023,42727.377,Normal value,False
Historical population data,NLD,Netherlands,Population,Persons,Male,From 15 to 64 years,2023,5793.264,Normal value,False
Historical population data,NZL,New Zealand,Population,Persons,Male,From 15 to 64 years,2023,1694.34,Normal value,False
Historical population data,NOR,Norway,Population,Persons,Male,From 15 to 64 years,2023,1830.068,Normal value,False
Historical population data,POL,Poland,Population,Persons,Male,From 15 to 64 years,2023,12269.382,Normal value,False
Historical population data,PRT,Portugal,Population,Persons,Male,From 15 to 64 years,2023,3260.654,Normal value,False
Historical population data,SVK,Slovak Republic,Population,Persons,Male,From 15 to 64 years,2023,1811.252,Normal value,False
