structure_name,country_code,country,measure,unit_measure,adjustment,sex,age_group,frequency,time_period,employment_value,observation_status,is_estimated
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2022,834.6,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2023,838.875,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2024,829.175,Normal value,False
Employed population by age groups,FIN,Finland,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2025,822.2,Normal value,False
Employed population by age groups,FRA,France,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2016,9848.75,Normal value,False
Employed population by age groups,FRA,France,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2017,9803.75,Normal value,False
Employed population by age groups,FRA,France,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2018,9867.25,Normal value,False
Employed population by age groups,FRA,France,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2019,9906.5,Normal value,False
Employed population by age groups,FRA,France,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2020,9847.25,Normal value,False
Employed population by age groups,FRA,France,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2021,9824.45,Normal value,False
Employed population by age groups,FRA,France,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2022,9899.15,Normal value,False
Employed population by age groups,FRA,France,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2023,9909.325,Normal value,False
Employed population by age groups,FRA,France,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2024,10008.88,Normal value,False
Employed population by age groups,FRA,France,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2025,10144.45,Normal value,False
Employed population by age groups,DEU,Germany,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2016,13092.25,Normal value,False
Employed population by age groups,DEU,Germany,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2017,13017.0,Normal value,False
Employed population by age groups,DEU,Germany,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2018,12895.25,Normal value,False
Employed population by age groups,DEU,Germany,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2021,12465.83,Normal value,False
Employed population by age groups,DEU,Germany,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2022,12622.92,Normal value,False
Employed population by age groups,DEU,Germany,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2023,12622.85,Normal value,False
Employed population by age groups,DEU,Germany,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2024,12623.7,Normal value,False
Employed population by age groups,DEU,Germany,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2025,12632.65,Normal value,False
Employed population by age groups,GRC,Greece,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2016,1249.5,Normal value,False
Employed population by age groups,GRC,Greece,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2017,1262.75,Normal value,False
Employed population by age groups,GRC,Greece,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2018,1261.5,Normal value,False
Employed population by age groups,GRC,Greece,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2019,1297.25,Normal value,False
Employed population by age groups,GRC,Greece,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2020,1224.5,Normal value,False
Employed population by age groups,GRC,Greece,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2021,1286.65,Normal value,False
Employed population by age groups,GRC,Greece,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2022,1338.275,Normal value,False
Employed population by age groups,GRC,Greece,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2023,1337.275,Normal value,False
Employed population by age groups,GRC,Greece,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2024,1346.375,Normal value,False
Employed population by age groups,GRC,Greece,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2025,1366.5,Normal value,False
Employed population by age groups,HUN,Hungary,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2016,1539.65,Normal value,False
Employed population by age groups,HUN,Hungary,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2018,1558.15,Normal value,False
Employed population by age groups,HUN,Hungary,Employment,Persons,Calendar and seasonally adjusted,Female,From 25 to 54 years,Annual,2019,1566.325,Normal value,False
