structure_name,country_code,country,measure,unit_of_measure,sex,age,year,population_value,observation_status,is_estimated
Historical population data,COL,Colombia,Population,Persons,Total,From 15 to 64 years,2016,31366.136,Normal value,False
Historical population data,COL,Colombia,Population,Persons,Total,From 15 to 64 years,2017,31817.819,Normal value,False
Historical population data,COL,Colombia,Population,Persons,Total,From 15 to 64 years,2018,32414.92,Normal value,False
Historical population data,COL,Colombia,Population,Persons,Total,From 15 to 64 years,2019,33206.757,Normal value,False
Historical population data,COL,Colombia,Population,Persons,Total,From 15 to 64 years,2020,33989.272,Normal value,False
Historical population data,COL,Colombia,Population,Persons,Total,From 15 to 64 years,2021,34532.977,Normal value,False
Historical population data,COL,Colombia,Population,Persons,Total,From 15 to 64 years,2022,34974.647,Normal value,False
Historical population data,CHL,Chile,Population,Persons,Total,From 15 to 64 years,2016,12488.678,Normal value,False
Historical population data,CHL,Chile,Population,Persons,Total,From 15 to 64 years,2017,12658.694,Normal value,False
Historical population data,CHL,Chile,Population,Persons,Total,From 15 to 64 years,2018,12890.07,Normal value,False
Historical population data,CHL,Chile,Population,Persons,Total,From 15 to 64 years,2019,13132.822,Normal value,False
Historical population data,CHL,Chile,Population,Persons,Total,From 15 to 64 years,2020,13361.656,Normal value,False
Historical population data,CHL,Chile,Population,Persons,Total,From 15 to 64 years,2021,13473.999,Normal value,False
Historical population data,CHL,Chile,Population,Persons,Total,From 15 to 64 years,2022,13528.576,Normal value,False
Historical population data,BEL,Belgium,Population,Persons,Total,From 15 to 64 years,2016,7300.061,Normal value,False
Historical population data,BEL,Belgium,Population,Persons,Total,From 15 to 64 years,2017,7312.259,Normal value,False
Historical population data,BEL,Belgium,Population,Persons,Total,From 15 to 64 years,2018,7325.392,Normal value,False
Historical population data,BEL,Belgium,Population,Persons,Total,From 15 to 64 years,2019,7342.747,Normal value,False
Historical population data,BEL,Belgium,Population,Persons,Total,From 15 to 64 years,2020,7357.957,Normal value,False
Historical population data,BEL,Belgium,Population,Persons,Total,From 15 to 64 years,2021,7376.439,Normal value,False
Historical population data,BEL,Belgium,Population,Persons,Total,From 15 to 64 years,2022,7422.214,Normal value,False
Historical population data,MEX,Mexico,Population,Persons,Total,From 15 to 64 years,2016,80986.362,Normal value,False
Historical population data,MEX,Mexico,Population,Persons,Total,From 15 to 64 years,2017,82127.176,Normal value,False
Historical population data,MEX,Mexico,Population,Persons,Total,From 15 to 64 years,2018,83247.972,Normal value,False
Historical population data,MEX,Mexico,Population,Persons,Total,From 15 to 64 years,2019,84329.698,Normal value,False
Historical population data,MEX,Mexico,Population,Persons,Total,From 15 to 64 years,2025,89940.444,Normal value,False
Historical population data,CAN,Canada,Population,Persons,Total,From 15 to 64 years,2016,24323.11,Normal value,False
Historical population data,CAN,Canada,Population,Persons,Total,From 15 to 64 years,2017,24491.92,Normal value,False
Historical population data,CAN,Canada,Population,Persons,Total,From 15 to 64 years,2018,24737.598,Normal value,False
Historical population data,CAN,Canada,Population,Persons,Total,From 15 to 64 years,2019,24992.326,Normal value,False
Historical population data,AUT,Austria,Population,Persons,Total,From 15 to 64 years,2016,5866.334,Normal value,False
Historical population data,AUT,Austria,Population,Persons,Total,From 15 to 64 years,2017,5887.058,Normal value,False
Historical population data,AUT,Austria,Population,Persons,Total,From 15 to 64 years,2018,5900.047,Normal value,False
Historical population data,AUT,Austria,Population,Persons,Total,From 15 to 64 years,2019,5911.025,Normal value,False
Historical population data,CHL,Chile,Population,Persons,Total,From 15 to 64 years,2025,13660.93,Normal value,False
Historical population data,COL,Colombia,Population,Persons,Total,From 15 to 64 years,2025,35984.581,Normal value,False
Historical population data,KOR,Korea,Population,Persons,Total,From 15 to 64 years,2025,35912.191,Normal value,False
Historical population data,HUN,Hungary,Population,Persons,Total,From 15 to 64 years,2016,6552.126,Normal value,False
Historical population data,ISL,Iceland,Population,Persons,Total,From 15 to 64 years,2016,216.518,Normal value,False
Historical population data,ESP,Spain,Population,Persons,Total,From 15 to 64 years,2016,30733.068,Normal value,False
Historical population data,GBR,United Kingdom,Population,Persons,Total,From 15 to 64 years,2016,42288.79,Normal value,False
Historical population data,AUS,Australia,Population,Persons,Total,From 15 to 64 years,2018,16369.321,Normal value,False
