structure_name,country_code,country,measure,unit_measure,adjustment,sex,age_group,frequency,time_period,year,quarter,employment_value,observation_status,is_estimated
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2020-Q1,2020,Q1,8488.546,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2020-Q2,2020,Q2,8188.468,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2020-Q3,2020,Q3,8264.734,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2020-Q4,2020,Q4,8390.121,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2021-Q1,2021,Q1,8459.478,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2021-Q2,2021,Q2,8544.964,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2021-Q3,2021,Q3,8528.719,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2021-Q4,2021,Q4,8553.715,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2022-Q1,2022,Q1,8671.215,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2022-Q2,2022,Q2,8782.192,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2022-Q3,2022,Q3,8871.36,Normal value,False
